material,sample_name,Run_accession,Type,archive_project,geo_loc_name,latitude,longitude,Size_geo_loc_name,FileSize(GB)
dental calculus,B61,SRR957738,aMetagenome,PRJNA216965,Germany,51.165691,10.451526,9,1.029504
dental calculus,B61,SRR957739,aMetagenome,PRJNA216965,Germany,51.165691,10.451526,9,1.097742
dental calculus,B61,SRR957740,aMetagenome,PRJNA216965,Germany,51.165691,10.451526,9,0.711023
dental calculus,B61,SRR957741,aMetagenome,PRJNA216965,Germany,51.165691,10.451526,9,0.9364
dental calculus,G12,SRR957742,aMetagenome,PRJNA216965,Germany,51.165691,10.451526,9,0.737749
dental calculus,G12,SRR957743,aMetagenome,PRJNA216965,Germany,51.165691,10.451526,9,0.7470009999999999
dental calculus,G12,SRR957744,aMetagenome,PRJNA216965,Germany,51.165691,10.451526,9,0.8458439999999999
dental calculus,G12,SRR957745,aMetagenome,PRJNA216965,Germany,51.165691,10.451526,9,0.839634
dental calculus,G12,SRR957746,aMetagenome,PRJNA216965,Germany,51.165691,10.451526,9,0.651704
dental calculus,C214,SRR6877286,aMetagenome,PRJNA445215,Spain,40.463667,-3.74922,2,0.842602
dental calculus,C53,SRR6877284,aMetagenome,PRJNA445215,Spain,40.463667,-3.74922,2,2.374508
dental calculus,F1948,SRR6877290,aMetagenome,PRJNA445215,Guadeloupe,16.995971,-62.067641,2,0.952727
dental calculus,F349A,SRR6877288,aMetagenome,PRJNA445215,Guadeloupe,16.995971,-62.067641,2,1.1281539999999999
dental calculus,H10,SRR6877292,aMetagenome,PRJNA445215,Mongolia,46.862496,103.846656,2,1.521617
dental calculus,H24,SRR6877323,aMetagenome,PRJNA445215,Mongolia,46.862496,103.846656,2,1.219069
dental calculus,KT01,SRR6877304,aMetagenome,PRJNA445215,Ireland,53.41291,-8.24389,50,0.220773
dental calculus,KT01,SRR6877305,aMetagenome,PRJNA445215,Ireland,53.41291,-8.24389,50,0.258482
dental calculus,KT02,SRR6877392,aMetagenome,PRJNA445215,Ireland,53.41291,-8.24389,50,0.177801
dental calculus,KT03,SRR6877308,aMetagenome,PRJNA445215,Ireland,53.41291,-8.24389,50,0.18284899999999998
dental calculus,KT04,SRR6877303,aMetagenome,PRJNA445215,Ireland,53.41291,-8.24389,50,0.19891
